Wavelength,X,Y,Z,x(l),y(l)
380,0.001368,0.000039,0.00645,0.17411,0.00496
385,0.002236,0.000064,0.01055,0.17401,0.00498
390,0.004243,0.00012,0.02005,0.1738,0.00492
395,0.00765,0.000217,0.03621,0.17356,0.00492
400,0.01431,0.000396,0.06785,0.17334,0.0048
405,0.02319,0.00064,0.1102,0.17302,0.00478
410,0.04351,0.00121,0.2074,0.17258,0.0048
415,0.07763,0.00218,0.3713,0.17209,0.00483
420,0.13438,0.004,0.6456,0.17141,0.0051
425,0.21477,0.0073,1.03905,0.1703,0.00579
430,0.2839,0.0116,1.3856,0.16888,0.0069
435,0.3285,0.01684,1.62296,0.1669,0.00856
440,0.34828,0.023,1.74706,0.16441,0.01086
445,0.34806,0.0298,1.7826,0.1611,0.01379
450,0.3362,0.038,1.77211,0.15664,0.0177
455,0.3187,0.048,1.7441,0.15099,0.02274
460,0.2908,0.06,1.6692,0.14396,0.0297
465,0.2511,0.0739,1.5281,0.1355,0.03988
470,0.19536,0.09098,1.28764,0.12412,0.0578
475,0.1421,0.1126,1.0419,0.10959,0.08684
480,0.09564,0.13902,0.81295,0.09129,0.1327
485,0.05795,0.1693,0.6162,0.06871,0.20072
490,0.03201,0.20802,0.46518,0.04539,0.29498
495,0.0147,0.2586,0.3533,0.02346,0.4127
500,0.0049,0.323,0.272,0.00817,0.53842
505,0.0024,0.4073,0.2123,0.00386,0.65482
510,0.0093,0.503,0.1582,0.01387,0.75019
515,0.0291,0.6082,0.1117,0.03885,0.81202
520,0.06327,0.71,0.07825,0.0743,0.8338
525,0.1096,0.7932,0.05725,0.11416,0.82621
530,0.1655,0.862,0.04216,0.15472,0.80586
535,0.22575,0.91485,0.02984,0.19288,0.78163
540,0.2904,0.954,0.0203,0.22962,0.75433
545,0.3597,0.9803,0.0134,0.26578,0.72432
550,0.43345,0.99495,0.00875,0.3016,0.69231
555,0.51205,1,0.00575,0.33736,0.65885
560,0.5945,0.995,0.0039,0.3731,0.62445
565,0.6784,0.9786,0.00275,0.40874,0.58961
570,0.7621,0.952,0.0021,0.44406,0.55471
575,0.8425,0.9154,0.0018,0.47877,0.5202
580,0.9163,0.87,0.00165,0.51249,0.48659
585,0.9786,0.8163,0.0014,0.54479,0.45443
590,1.0263,0.757,0.0011,0.57515,0.42423
595,1.0567,0.6949,0.001,0.60293,0.3965
600,1.0622,0.631,0.0008,0.62704,0.37249
605,1.0456,0.5668,0.0006,0.64823,0.35139
610,1.0026,0.503,0.00034,0.66576,0.33401
615,0.9384,0.4412,0.00024,0.68008,0.31975
620,0.85445,0.381,0.00019,0.6915,0.30834
625,0.7514,0.321,0.0001,0.70061,0.2993
630,0.6424,0.265,0.00005,0.70792,0.29203
635,0.5419,0.217,0.00003,0.71403,0.28593
640,0.4479,0.175,0.00002,0.71903,0.28093
645,0.3608,0.1382,0.00001,0.72303,0.27695
650,0.2835,0.107,0,0.72599,0.27401
655,0.2187,0.0816,0,0.72827,0.27173
660,0.1649,0.061,0,0.72997,0.27003
665,0.1212,0.04458,0,0.73109,0.26891
670,0.0874,0.032,0,0.73199,0.26801
675,0.0636,0.0232,0,0.73272,0.26728
680,0.04677,0.017,0,0.73342,0.26658
685,0.0329,0.01192,0,0.73405,0.26595
690,0.0227,0.00821,0,0.73439,0.26561
695,0.01584,0.005723,0,0.73459,0.26541
700,0.011359,0.004102,0,0.73469,0.26531
705,0.008111,0.002929,0,0.73469,0.26531
710,0.00579,0.002091,0,0.73469,0.26531
715,0.004109,0.001484,0,0.73469,0.26531
720,0.002899,0.001047,0,0.73469,0.26531
725,0.002049,0.00074,0,0.73469,0.26531
730,0.00144,0.00052,0,0.73469,0.26531
735,0.001,0.000361,0,0.73469,0.26531
740,0.00069,0.000249,0,0.73469,0.26531
745,0.000476,0.000172,0,0.73469,0.26531
750,0.000332,0.00012,0,0.73469,0.26531
755,0.000235,0.000085,0,0.73469,0.26531
760,0.000166,0.00006,0,0.73469,0.26531
765,0.000117,0.000042,0,0.73469,0.26531
770,0.000083,0.00003,0,0.73469,0.26531
775,0.000059,0.000021,0,0.73469,0.26531
780,0.000042,0.000015,0,0.73469,0.26531
380,0.000160,0.000017,0.000705,0.181330,0.019690
385,0.000662,0.000072,0.002928,0.180910,0.019540
390,0.002362,0.000253,0.010482,0.180310,0.019350
395,0.007242,0.000769,0.032344,0.179470,0.019040
400,0.019110,0.002004,0.086011,0.178390,0.018710
405,0.043400,0.004509,0.197120,0.177120,0.018400
410,0.084736,0.008756,0.389366,0.175490,0.018130
415,0.140638,0.014456,0.656760,0.173230,0.017810
420,0.204492,0.021391,0.972542,0.170630,0.017850
425,0.264737,0.029497,1.282500,0.167900,0.018710
430,0.314679,0.038676,1.553480,0.165030,0.020280
435,0.357719,0.049602,1.798500,0.162170,0.022490
440,0.383734,0.062077,1.967280,0.159020,0.025730
445,0.386726,0.074704,2.027300,0.155390,0.030020
450,0.370702,0.089456,1.994800,0.151000,0.036440
455,0.342957,0.106256,1.900700,0.145940,0.045220
460,0.302273,0.128201,1.745370,0.138920,0.058920
465,0.254085,0.152761,1.554900,0.129520,0.077870
470,0.195618,0.185190,1.317560,0.115180,0.109040
475,0.132349,0.219940,1.030200,0.095730,0.159090
480,0.080507,0.253589,0.772125,0.072780,0.229240
485,0.041072,0.297665,0.570060,0.045190,0.327540
490,0.016172,0.339133,0.415254,0.020990,0.440110
495,0.005132,0.395379,0.302356,0.007300,0.562520
500,0.003816,0.460777,0.218502,0.005590,0.674540
505,0.015444,0.531360,0.159249,0.021870,0.752580
510,0.037465,0.606741,0.112044,0.049540,0.802300
515,0.071358,0.685660,0.082248,0.085020,0.816980
520,0.117749,0.761757,0.060709,0.125240,0.810190
525,0.172953,0.823330,0.043050,0.166410,0.792170
530,0.236491,0.875211,0.030451,0.207060,0.766280
535,0.304213,0.923810,0.020584,0.243640,0.739870
540,0.376772,0.961988,0.013676,0.278590,0.711300
545,0.451584,0.982200,0.007918,0.313230,0.681280
550,0.529826,0.991761,0.003988,0.347300,0.650090
555,0.616053,0.999110,0.001091,0.381160,0.618160
560,0.705224,0.997340,0.000000,0.414210,0.585790
565,0.793832,0.982380,0.000000,0.446920,0.553080
570,0.878655,0.955552,0.000000,0.479040,0.520960
575,0.951162,0.915175,0.000000,0.509640,0.490360
580,1.014160,0.868934,0.000000,0.538560,0.461440
585,1.074300,0.825623,0.000000,0.565440,0.434560
590,1.118520,0.777405,0.000000,0.589960,0.410040
595,1.134300,0.720353,0.000000,0.611600,0.388400
600,1.123990,0.658341,0.000000,0.630630,0.369370
605,1.089100,0.593878,0.000000,0.647130,0.352870
610,1.030480,0.527963,0.000000,0.661220,0.338780
615,0.950740,0.461834,0.000000,0.673060,0.326940
620,0.856297,0.398057,0.000000,0.682660,0.317340
625,0.754930,0.339554,0.000000,0.689760,0.310240
630,0.647467,0.283493,0.000000,0.695480,0.304520
635,0.535110,0.228254,0.000000,0.700990,0.299010
640,0.431567,0.179828,0.000000,0.705870,0.294130
645,0.343690,0.140211,0.000000,0.710250,0.289750
650,0.268329,0.107633,0.000000,0.713710,0.286290
655,0.204300,0.081187,0.000000,0.715620,0.284380
660,0.152568,0.060281,0.000000,0.716790,0.283210
665,0.112210,0.044096,0.000000,0.717890,0.282110
670,0.081261,0.031800,0.000000,0.718730,0.281270
675,0.057930,0.022602,0.000000,0.719340,0.280660
680,0.040851,0.015905,0.000000,0.719760,0.280240
